"Município";"Óbitos p/Ocorrênc"
"240010 Acari";50
"240020 Açu";190
"240030 Afonso Bezerra";40
"240040 Água Nova";13
"240050 Alexandria";61
"240060 Almino Afonso";29
"240070 Alto do Rodrigues";52
"240080 Angicos";41
"240090 Antônio Martins";34
"240100 Apodi";159
"240110 Areia Branca";82
"240120 Arês";41
"240130 Augusto Severo";42
"240140 Baía Formosa";26
"240145 Baraúna";72
"240150 Barcelona";13
"240160 Bento Fernandes";10
"240165 Bodó";6
"240170 Bom Jesus";31
"240180 Brejinho";50
"240185 Caiçara do Norte";20
"240190 Caiçara do Rio do Vento";9
"240200 Caicó";647
"240210 Campo Redondo";26
"240220 Canguaretama";150
"240230 Caraúbas";110
"240240 Carnaúba dos Dantas";32
"240250 Carnaubais";1
"240260 Ceará-Mirim";389
"240270 Cerro Corá";38
"240280 Coronel Ezequiel";22
"240290 Coronel João Pessoa";17
"240300 Cruzeta";41
"240310 Currais Novos";395
"240320 Doutor Severiano";18
"240330 Encanto";16
"240340 Equador";22
"240350 Espírito Santo";25
"240360 Extremoz";156
"240370 Felipe Guerra";30
"240375 Fernando Pedroza";7
"240380 Florânia";35
"240390 Francisco Dantas";7
"240400 Frutuoso Gomes";26
"240410 Galinhos";4
"240420 Goianinha";149
"240430 Governador Dix-Sept Rosado";36
"240440 Grossos";19
"240450 Guamaré";50
"240460 Ielmo Marinho";37
"240470 Ipanguaçu";39
"240480 Ipueira";5
"240485 Itajá";14
"240490 Itaú";27
"240500 Jaçanã";42
"240510 Jandaíra";23
"240520 Janduís";24
"240530 Januário Cicco";27
"240540 Japi";18
"240550 Jardim de Angicos";5
"240560 Jardim de Piranhas";52
"240570 Jardim do Seridó";52
"240580 João Câmara";187
"240590 João Dias";22
"240600 José da Penha";30
"240610 Jucurutu";74
"240615 Jundiá";17
"240620 Lagoa d'Anta";31
"240630 Lagoa de Pedras";26
"240640 Lagoa de Velhos";6
"240650 Lagoa Nova";43
"240660 Lagoa Salgada";30
"240670 Lajes";40
"240680 Lajes Pintadas";14
"240690 Lucrécia";27
"240700 Luís Gomes";33
"240710 Macaíba";409
"240720 Macau";133
"240725 Major Sales";18
"240730 Marcelino Vieira";32
"240740 Martins";46
"240750 Maxaranguape";35
"240760 Messias Targino";14
"240770 Montanhas";49
"240780 Monte Alegre";102
"240790 Monte das Gameleiras";9
"240800 Mossoró";2811
"240810 Natal";8371
"240820 Nísia Floresta";94
"240830 Nova Cruz";173
"240840 Olho-d'Água do Borges";22
"240850 Ouro Branco";21
"240860 Paraná";24
"240870 Paraú";22
"240880 Parazinho";15
"240890 Parelhas";92
"240325 Parnamirim";826
"240910 Passa e Fica";57
"240920 Passagem";8
"240930 Patu";73
"240940 Pau dos Ferros";645
"240950 Pedra Grande";12
"240960 Pedra Preta";5
"240970 Pedro Avelino";17
"240980 Pedro Velho";54
"240990 Pendências";55
"241000 Pilões";19
"241010 Poço Branco";53
"241020 Portalegre";36
"241025 Porto do Mangue";18
"241040 Pureza";22
"241050 Rafael Fernandes";22
"241060 Rafael Godeiro";26
"241070 Riacho da Cruz";12
"241080 Riacho de Santana";11
"241090 Riachuelo";23
"240895 Rio do Fogo";36
"241100 Rodolfo Fernandes";16
"241110 Ruy Barbosa";12
"241120 Santa Cruz";192
"240933 Santa Maria";11
"241140 Santana do Matos";50
"241142 Santana do Seridó";7
"241150 Santo Antônio";178
"241160 São Bento do Norte";7
"241170 São Bento do Trairí";6
"241180 São Fernando";9
"241190 São Francisco do Oeste";10
"241200 São Gonçalo do Amarante";316
"241210 São João do Sabugi";28
"241220 São José de Mipibu";226
"241230 São José do Campestre";72
"241240 São José do Seridó";10
"241250 São Miguel";111
"241255 São Miguel do Gostoso";1
"241260 São Paulo do Potengi";150
"241270 São Pedro";28
"241280 São Rafael";43
"241290 São Tomé";51
"241300 São Vicente";20
"241310 Senador Elói de Souza";23
"241320 Senador Georgino Avelino";1
"241030 Serra Caiada";31
"241330 Serra de São Bento";27
"241335 Serra do Mel";40
"241340 Serra Negra do Norte";27
"241350 Serrinha";35
"241355 Serrinha dos Pintos";21
"241360 Severiano Melo";21
"241370 Sítio Novo";20
"241380 Taboleiro Grande";7
"241390 Taipu";58
"241400 Tangará";65
"241410 Tenente Ananias";31
"241415 Tenente Laurentino Cruz";21
"241105 Tibau";21
"241420 Tibau do Sul";45
"241430 Timbaúba dos Batistas";8
"241440 Touros";116
"241445 Triunfo Potiguar";14
"241450 Umarizal";53
"241460 Upanema";37
"241470 Várzea";23
"241475 Venha-Ver";11
"241480 Vera Cruz";65
"241490 Viçosa";8
"241500 Vila Flor";3
"Total";21392
